"H(A/m)"	"B(tesla)"
-1511971.95937301	-1.90000000
-1508932.09995995	-1.81316000
-1505900.19829405	-1.72632000
-1502860.33888099	-1.63947000
-1499820.47946794	-1.55263000
-1496788.57780204	-1.46579000
-1493748.71838898	-1.37895000
-1490708.85897593	-1.29210000
-1487676.95731003	-1.20526000
-1484637.09789697	-1.11842000
-1481597.23848392	-1.03158000
-1477689.98463101	-0.93546300
-1473790.68852526	-0.86532700
-1469883.43467235	-0.81393500
-1465976.18081945	-0.77537600
-1462068.92696654	-0.74554200
-1458169.63086079	-0.72172400
-1454262.37700788	-0.70215200
-1450355.12315498	-0.68565100
-1446455.82704923	-0.67142700
-1442548.57319632	-0.65892800
-1435601.45993036	-0.63981700
-1428662.30441155	-0.62352500
-1421723.14889275	-0.60917900
-1414776.03562679	-0.59623000
-1407836.88010798	-0.58431600
-1400889.76684202	-0.57318700
-1393950.61132321	-0.56266900
-1387003.49805725	-0.55263500
-1380064.34253844	-0.54299200
-1373125.18701964	-0.53292600
-1235806.30211995	-0.35213400
-1098495.37496742	-0.17134100
-968362.33574833	0.00000000
-961184.44781488	0.00945162
-823873.52066235	0.19024400
-686561.00196039	0.37103700
-549248.48325842	0.55182900
-411936.76033118	0.73262200
-274624.24162921	0.91341500
-137312.51870196	1.09421000
  0.00000000	1.27500000
