"H(A/m)"	"B(teslas)"
-1000000 	-2.56666667
-995000 	-2.53458333
-990000 	-2.50250000
-985000 	-2.47041667
-980000 	-2.43833333
-975000 	-2.40625000
-970000 	-2.37416667
-965000 	-2.34208333
-960000 	-2.31000000
-955000 	-2.27791667
-950000 	-2.24583333
-945000 	-2.21375000
-940000 	-2.18166667
-935000 	-2.14958333
-930000 	-2.11750000
-925000 	-2.08541667
-920000 	-2.05333333
-915000 	-2.02125000
-910000 	-1.98916667
-905000 	-1.95708333
-900000 	-1.92500000
-895000 	-1.89291667
-890000 	-1.86083333
-885000 	-1.82875000
-880000 	-1.79666667
-875000 	-1.76458333
-870000 	-1.73250000
-865000 	-1.70041667
-860000 	-1.66833333
-855000 	-1.63625000
-850000 	-1.60416667
-845000 	-1.57208333
-840000 	-1.54000000
-835000 	-1.50791667
-830000 	-1.47583333
-825000 	-1.44375000
-820000 	-1.41166667
-815000 	-1.37958333
-810000 	-1.34750000
-805000 	-1.31541667
-800000 	-1.28333333
-795000 	-1.25125000
-790000 	-1.21916667
-785000 	-1.18708333
-780000 	-1.15500000
-775000 	-1.12291667
-770000 	-1.09083333
-765000 	-1.05875000
-760000 	-1.02666667
-755000 	-0.99458333
-750000 	-0.96250000
-745000 	-0.93041667
-740000 	-0.89833333
-735000 	-0.86625000
-730000 	-0.83416667
-725000 	-0.80208333
-720000 	-0.77000000
-715000 	-0.73791667
-710000 	-0.70583333
-705000 	-0.67375000
-700000 	-0.64166667
-695000 	-0.60958333
-690000 	-0.57750000
-685000 	-0.54541667
-680000 	-0.51333333
-675000 	-0.48125000
-670000 	-0.44916667
-665000 	-0.41708333
-660000 	-0.38500000
-655000 	-0.35291667
-650000 	-0.32083333
-645000 	-0.28875000
-640000 	-0.25666667
-635000 	-0.22458333
-630000 	-0.19250000
-625000 	-0.16041667
-620000 	-0.12833333
-615000 	-0.09625000
-610000 	-0.06416667
-605000 	-0.03208333
-600000 	0.00000000
-595000 	0.03194444
-590000 	0.06268849
-585000 	0.09223214
-580000 	0.12057540
-575000 	0.14771825
-570000 	0.17366071
-565000 	0.19840278
-560000 	0.22194444
-555000 	0.24428571
-550000 	0.26542659
-545455 	0.28536706
-540455 	0.30410714
-535455 	0.32164683
-530455 	0.33798611
-525455 	0.35312500
-520455 	0.36706349
-515455 	0.37980159
-510455 	0.39133929
-505455 	0.40167659
-500455 	0.41081349
-495455 	0.41875000
-490455 	0.42562500
-485455 	0.43250000
-480455 	0.43937500
-475455 	0.44625000
-470455 	0.45312500
-465455 	0.46000000
-460455 	0.46687500
-455455 	0.47375000
-450455 	0.48062500
-445455 	0.48750000
-440455 	0.49437500
-435455 	0.50125000
-430455 	0.50812500
-425455 	0.51500000
-420455 	0.52187500
-415455 	0.52875000
-410455 	0.53562500
-405455 	0.54250000
-400455 	0.54937500
-395455 	0.55625000
-390455 	0.56312500
-385455 	0.57000000
-380455 	0.57687500
-375455 	0.58375000
-370455 	0.59062500
-365455 	0.59750000
-360455 	0.60437500
-355455 	0.61125000
-350455 	0.61812500
-345455 	0.62500000
-340455 	0.63187500
-335455 	0.63875000
-330455 	0.64562500
-325455 	0.65250000
-320455 	0.65937500
-315455 	0.66625000
-310455 	0.67312500
-305455 	0.68000000
-300455 	0.68687500
-295455 	0.69375000
-290455 	0.70062500
-285455 	0.70750000
-280455 	0.71437500
-275455 	0.72125000
-270455 	0.72812500
-265455 	0.73500000
-260455 	0.74187500
-255455 	0.74875000
-250455 	0.75562500
-245455 	0.76250000
-240455 	0.76937500
-235455 	0.77625000
-230455 	0.78312500
-225455 	0.79000000
-220455 	0.79687500
-215455 	0.80375000
-210455 	0.81062500
-205455 	0.81750000
-200455 	0.82437500
-195455 	0.83125000
-190455 	0.83812500
-185455 	0.84500000
-180455 	0.85187500
-175455 	0.85875000
-170455 	0.86562500
-165455 	0.87250000
-160455 	0.87937500
-155455 	0.88625000
-150455 	0.89312500
-145455 	0.90000000
-140455 	0.90687500
-135455 	0.91375000
-130455 	0.92062500
-125455 	0.92750000
-120455 	0.93437500
-115455 	0.94125000
-110455 	0.94812500
-105455 	0.95500000
-100455 	0.96187500
-95455 	0.96875000
-90455 	0.97562500
-85455 	0.98250000
-80455 	0.98937500
-75455 	0.99625000
-70455 	1.00312500
-65455 	1.01000000
-60455 	1.01687500
-55455 	1.02375000
-50455 	1.03062500
-45455 	1.03750000
-40455 	1.04437500
-35455 	1.05125000
-30455 	1.05812500
-25455 	1.06500000
-20455 	1.07187500
-15455 	1.07875000
-10455 	1.08562500
-5455 	1.09250000
-455 	1.09937500
