"H (A_per_meter)" 	"B (tesla)"
-880000 	-1.91134497
-860000 	-1.3584246630000001
-840000 	-0.85576983900000003
-820000 	-0.55417694399999995
-800000 	-0.37824775500000002
-780000 	-0.26515042
-760000 	-0.17718582599999999
-740000 	-0.114353973
-720000 	-0.064088489999999998
-690000 	0
-663114 	0.048797899999999998
-635338 	0.097595699999999994
-606628 	0.146394
-576936 	0.195191
-546211 	0.24398900000000001
-514397 	0.29278700000000002
-481437 	0.34158500000000003
-447266 	0.39038299999999998
-411817 	0.43918099999999999
-375016 	0.487979
-333348 	0.54110499999999995
-291679 	0.593468
-250011 	0.64583000000000002
-208342 	0.69819200000000003
-166674 	0.75055400000000005
-125005 	0.80291599999999996
-83337 	0.85527799999999998
-41668.5 	0.90764100000000003
0 	0.95999999999999996
