"H (kOe)" 	"B (tesla)"
-19 	-1.8999999999999999
-18.9618 	-1.8131600000000001
-18.9237 	-1.7263200000000001
-18.8855 	-1.63947
-18.847300000000001 	-1.55263
-18.809200000000001 	-1.4657899999999999
-18.771000000000001 	-1.3789499999999999
-18.732800000000001 	-1.2921
-18.694700000000001 	-1.20526
-18.656500000000001 	-1.11842
-18.618300000000001 	-1.0315799999999999
-18.569199999999999 	-0.93546300000000004
-18.520199999999999 	-0.86532699999999996
-18.4711 	-0.81393499999999996
-18.422000000000001 	-0.77537599999999995
-18.372900000000001 	-0.74554200000000004
-18.323899999999998 	-0.72172400000000003
-18.274799999999999 	-0.702152
-18.2257 	-0.68565100000000001
-18.1767 	-0.671427
-18.127600000000001 	-0.65892799999999996
-18.040299999999998 	-0.63981699999999997
-17.953099999999999 	-0.623525
-17.8659 	-0.60917900000000003
-17.778600000000001 	-0.59623000000000004
-17.691400000000002 	-0.58431599999999995
-17.604099999999999 	-0.573187
-17.5169 	-0.56266899999999997
-17.429600000000001 	-0.55263499999999999
-17.342400000000001 	-0.54299200000000003
-17.255199999999999 	-0.53292600000000001
-15.5296 	-0.352134
-13.8041 	-0.17134099999999999
-12.168799999999999 	0
-12.0786 	0.0094516200000000009
-10.3531 	0.190244
-8.62758 	0.37103700000000001
-6.9020599999999996 	0.55182900000000001
-5.1765499999999998 	0.732622
-3.4510299999999998 	0.91341499999999998
-1.7255199999999999 	1.0942099999999999
0 	1.2749999999999999
